pop_size,generations,crossover_rate,mutation_rate,k,crossover_type,mutation_type,best_distance,runtime,fitness_gen_100_best,fitness_gen_100_avg,fitness_gen_200_best,fitness_gen_200_avg,fitness_gen_300_best,fitness_gen_300_avg,fitness_gen_400_best,fitness_gen_400_avg,fitness_gen_500_best,fitness_gen_500_avg
100,500,0.7,0.1,3,ordered,reverse,8506.72794296623,20.408958911895752,10439.351580936842,10728.627362010504,9332.788309281428,9420.069094006787,9131.559722927068,9188.373805321755,8822.487219118526,9069.590013436295,8506.72794296623,8732.730792547154
100,500,0.7,0.1,3,ordered,swap,10053.930380012296,19.729393243789673,12183.633084205889,12471.316977905328,10822.362387824363,10924.218748807576,10655.321230959104,10864.8691035208,10479.905275882433,10770.51577230533,10053.930380012296,10218.320627917032
100,500,0.7,0.1,3,edg,reverse,7948.8239160868725,26.583886861801147,10479.623198979838,10556.768295860224,8955.49337293714,8987.494823796724,8536.974296190421,8609.992007221197,7948.8239160868725,8040.307326150555,7948.8239160868725,8010.523455012907
100,500,0.7,0.1,3,edg,swap,8983.300927845366,27.588783979415894,10735.154067377744,10875.919533384895,9772.379757960764,9817.288554039631,9290.280248572893,9419.922295156959,8999.07180357542,9111.838356963091,8983.300927845366,9158.219626623424
100,500,0.7,0.1,5,ordered,reverse,8468.507357696566,20.069403409957886,10639.721583556646,10763.236114993744,9058.971400163833,9138.329833753329,8798.891848773133,8885.566760497864,8721.254440867644,8765.93045617881,8468.507357696566,8617.339037781903
100,500,0.7,0.1,5,ordered,swap,10430.995177076873,20.100771188735962,12876.762239528192,13055.645002507814,11058.127341460015,11127.640256635468,10559.046386877824,10667.182555336996,10430.995177076873,10702.61048305847,10430.995177076873,10554.718714167491
100,500,0.7,0.1,5,edg,reverse,8539.81818095356,27.769251823425293,10920.825813779436,11111.655901713171,8970.116198793468,9106.658986044076,8564.826127635397,8668.028665293517,8547.314453843348,8605.945373067543,8539.81818095356,8616.896166195762
100,500,0.7,0.1,5,edg,swap,9067.1222837322,26.263507843017578,10512.72652873904,10614.172997104271,9906.944397232079,10134.459387878307,9217.224178981227,9435.757802272625,9071.66877426057,9200.849259285487,9067.1222837322,9166.738755417999
100,500,0.7,0.3,3,ordered,reverse,8116.695805824938,19.21148157119751,11203.581869756097,12917.119204820452,9027.388479893438,9447.311087447324,8349.411828955535,8584.213371812177,8116.695805824938,8250.96872853731,8116.695805824938,8256.501936115244
100,500,0.7,0.3,3,ordered,swap,10347.922152352685,19.182289361953735,11776.099789094982,12673.02746566253,11180.699318549467,11591.782883715705,11029.074908303479,11537.360570723604,10784.282518626083,11136.720597632635,10347.922152352685,10934.633200254433
100,500,0.7,0.3,3,edg,reverse,8483.217053223152,27.46827220916748,9355.26314937241,9549.157737635467,8531.749160343126,8727.848138569734,8483.217053223152,8753.472256136643,8483.217053223152,8733.42886412546,8483.217053223152,8737.414141337144
100,500,0.7,0.3,3,edg,swap,8424.232117572372,25.74561619758606,9996.991982952339,10988.129935399,8837.247212698743,9381.679900975556,8497.976958436257,9173.672455856353,8431.622801439085,9015.209053806542,8424.232117572372,8845.648099196358
100,500,0.7,0.3,5,ordered,reverse,8451.689160987322,18.774285078048706,9486.512832013745,9933.488285272051,8567.257720645352,8832.484770889534,8451.689160987322,8715.07526322869,8451.689160987322,8789.167280547204,8451.689160987322,8644.708235286362
100,500,0.7,0.3,5,ordered,swap,9323.809433748282,18.946969032287598,10687.215121197805,11300.235475973635,9621.283127277282,10138.966175237216,9406.271070170114,9835.203067944833,9323.809433748282,9633.911071313818,9323.809433748282,9695.542126755838
100,500,0.7,0.3,5,edg,reverse,8517.99203221751,26.54363250732422,9504.21660571399,9674.745890128324,8655.351575775823,9064.732360364156,8593.071212856212,8848.961610130282,8541.373673170097,8706.421664631727,8517.99203221751,8738.468026012466
100,500,0.7,0.3,5,edg,swap,8470.42699669051,25.18492341041565,9572.880888672255,10042.116700068082,8569.311616243851,9080.793813012388,8569.311616243851,9151.302276693155,8470.42699669051,8945.332225544413,8470.42699669051,8973.890554399992
100,500,0.9,0.1,3,ordered,reverse,8347.820488796026,19.140249013900757,11735.751604433732,12176.663119268478,9975.06009168308,10037.455088985547,9158.559125469645,9322.685980204058,8628.632323196325,9026.665213154787,8347.820488796026,8432.265253199399
100,500,0.9,0.1,3,ordered,swap,10254.207849419261,18.77699589729309,11557.079018188395,11758.918589353878,10709.975328576404,10844.401337079446,10510.453833827976,10818.207924071641,10254.207849419261,10390.692888509855,10254.207849419261,10550.436614325816
100,500,0.9,0.1,3,edg,reverse,8292.332294172003,27.768388986587524,10634.163993534503,10663.8586197665,9520.679295448517,9585.93668343729,8724.99231353397,8780.670568668178,8321.79855917725,8384.851667073357,8292.332294172003,8464.505135343776
100,500,0.9,0.1,3,edg,swap,8453.186911718396,27.138562440872192,10134.619273883423,10238.104385882203,9145.911200593915,9309.272162703604,8918.318943846716,8951.633415301001,8527.184389868255,8807.593030614535,8453.186911718396,8605.393467059701
100,500,0.9,0.1,5,ordered,reverse,8314.80216157852,18.918155670166016,10772.334389543472,10824.148722931504,8986.784255419625,9114.65108688721,8404.205028078026,8555.778965473331,8337.352083236241,8387.86034708365,8314.80216157852,8435.191044551995
100,500,0.9,0.1,5,ordered,swap,10350.835335237778,18.80149745941162,11703.783709695777,11885.530196109403,10906.13086394281,11074.87229968305,10555.916182734662,10633.662764127364,10350.835335237778,10467.658509993065,10350.835335237778,10486.769104354791
